2025-11-13 22:49:01,416 [INFO] offlline_simulations: 2025-11-13 22:49:24 | Window=0 | Trial=1 | tx_power_dbm=29.62 | obss_pd_dbm=-73.81 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:01,686 [INFO] offlline_simulations: 2025-11-13 22:49:27 | Window=0 | Trial=2 | tx_power_dbm=23.71 | obss_pd_dbm=-93.82 | ch_width=40 | Throughput_p50=136.334 | Retry_p95=81.126 | Client_flags=0.120
2025-11-13 22:49:01,941 [INFO] offlline_simulations: 2025-11-13 22:49:30 | Window=0 | Trial=3 | tx_power_dbm=28.39 | obss_pd_dbm=-68.04 | ch_width=40 | Throughput_p50=155.804 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:02,190 [INFO] offlline_simulations: 2025-11-13 22:49:33 | Window=0 | Trial=4 | tx_power_dbm=19.26 | obss_pd_dbm=-71.61 | ch_width=40 | Throughput_p50=155.804 | Retry_p95=99.900 | Client_flags=0.160
2025-11-13 22:49:02,409 [INFO] offlline_simulations: 2025-11-13 22:49:36 | Window=0 | Trial=5 | tx_power_dbm=20.88 | obss_pd_dbm=-68.86 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=99.900 | Client_flags=0.160
2025-11-13 22:49:02,658 [INFO] offlline_simulations: 2025-11-13 22:49:39 | Window=0 | Trial=6 | tx_power_dbm=24.34 | obss_pd_dbm=-88.45 | ch_width=20 | Throughput_p50=142.817 | Retry_p95=36.917 | Client_flags=0.040
2025-11-13 22:49:02,907 [INFO] offlline_simulations: 2025-11-13 22:49:42 | Window=0 | Trial=7 | tx_power_dbm=19.97 | obss_pd_dbm=-93.81 | ch_width=40 | Throughput_p50=89.633 | Retry_p95=99.900 | Client_flags=0.360
2025-11-13 22:49:03,160 [INFO] offlline_simulations: 2025-11-13 22:49:45 | Window=0 | Trial=8 | tx_power_dbm=25.39 | obss_pd_dbm=-67.87 | ch_width=20 | Throughput_p50=57.175 | Retry_p95=2.729 | Client_flags=0.000
2025-11-13 22:49:03,412 [INFO] offlline_simulations: 2025-11-13 22:49:48 | Window=0 | Trial=9 | tx_power_dbm=26.95 | obss_pd_dbm=-84.78 | ch_width=40 | Throughput_p50=75.357 | Retry_p95=0.100 | Client_flags=0.040
2025-11-13 22:49:03,737 [INFO] offlline_simulations: 2025-11-13 22:49:52 | Window=0 | Trial=10 | tx_power_dbm=26.87 | obss_pd_dbm=-90.31 | ch_width=20 | Throughput_p50=79.211 | Retry_p95=0.100 | Client_flags=0.040
2025-11-13 22:49:10,542 [INFO] offlline_simulations: 2025-11-13 22:51:13 | Window=0 | Trial=11 | tx_power_dbm=25.83 | obss_pd_dbm=-82.74 | ch_width=20 | Throughput_p50=62.338 | Retry_p95=0.952 | Client_flags=0.040
