2025-11-13 22:49:55,178 [INFO] online_logger: 2025-11-13 22:49:55 | Window=0 | Trial=51 | tx_power_dbm=21.79 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 22:50:10,438 [INFO] online_logger: 2025-11-13 23:03:12 | Window=0 | Trial=51 | Throughput_p50=188.639 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 22:50:52,135 [INFO] online_logger: 2025-11-13 22:50:52 | Window=0 | Trial=53 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=20
2025-11-13 22:51:07,113 [INFO] online_logger: 2025-11-13 23:14:32 | Window=0 | Trial=53 | Throughput_p50=94.574 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 22:52:03,967 [INFO] online_logger: 2025-11-13 22:52:03 | Window=0 | Trial=55 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 22:52:18,867 [INFO] online_logger: 2025-11-13 23:28:53 | Window=0 | Trial=55 | Throughput_p50=189.153 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 22:53:16,188 [INFO] online_logger: 2025-11-13 22:53:16 | Window=0 | Trial=57 | tx_power_dbm=30.00 | obss_pd_dbm=-90.22 | ch_width=20
2025-11-13 22:53:31,007 [INFO] online_logger: 2025-11-13 23:43:19 | Window=0 | Trial=57 | Throughput_p50=57.657 | Retry_p95=0.112 | Client_flags=0.000
2025-11-13 22:54:27,785 [INFO] online_logger: 2025-11-13 22:54:27 | Window=0 | Trial=59 | tx_power_dbm=30.00 | obss_pd_dbm=-84.79 | ch_width=40
2025-11-13 22:54:42,528 [INFO] online_logger: 2025-11-13 23:57:37 | Window=0 | Trial=59 | Throughput_p50=116.100 | Retry_p95=0.111 | Client_flags=0.000
2025-11-13 22:55:40,623 [INFO] online_logger: 2025-11-13 22:55:40 | Window=0 | Trial=63 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 22:55:55,245 [INFO] online_logger: 2025-11-14 00:12:10 | Window=0 | Trial=63 | Throughput_p50=189.164 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 22:56:51,085 [INFO] online_logger: 2025-11-13 22:56:51 | Window=0 | Trial=64 | tx_power_dbm=30.00 | obss_pd_dbm=-78.62 | ch_width=20
2025-11-13 22:57:05,810 [INFO] online_logger: 2025-11-14 00:26:16 | Window=0 | Trial=64 | Throughput_p50=62.771 | Retry_p95=0.111 | Client_flags=0.000
2025-11-13 22:58:03,348 [INFO] online_logger: 2025-11-13 22:58:03 | Window=0 | Trial=67 | tx_power_dbm=22.03 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 22:58:18,368 [INFO] online_logger: 2025-11-14 00:40:47 | Window=0 | Trial=67 | Throughput_p50=188.691 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 22:58:59,255 [INFO] online_logger: 2025-11-13 22:58:59 | Window=0 | Trial=68 | tx_power_dbm=30.00 | obss_pd_dbm=-84.85 | ch_width=40
2025-11-13 22:59:14,157 [INFO] online_logger: 2025-11-14 00:51:57 | Window=0 | Trial=68 | Throughput_p50=116.096 | Retry_p95=0.111 | Client_flags=0.000
