"No.","Time","Source","Destination","Protocol","Length","Info","rssi"
"1","0.000000","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","281","Data, SN=734, FN=0, Flags=.p....F.",""
"2","0.000055","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-51,-53,-55,-83,-83"
"3","0.007778","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=956, FN=0, Flags=.p....F.",""
"4","0.007869","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"6","0.028736","DallasSemico_34:53:ce","Broadcast","802.11","355","Data, SN=871, FN=0, Flags=.pm...F.","-77,-83,-81,-83,-83"
"10","0.080500","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=957, FN=0, Flags=.p....F.",""
"11","0.080577","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"15","0.125537","DallasSemico_34:53:ed","Broadcast","802.11","356","Data, SN=878, FN=0, Flags=.pm...F.","-78,-87,-83,-83,-83"
"16","0.149819","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"17","0.149782","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=958, FN=0, Flags=.p....F.",""
"19","0.156014","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"20","0.155989","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=959, FN=0, Flags=.p....F.",""
"21","0.156417","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=960, FN=0, Flags=.p....F.",""
"22","0.156474","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-48,-43,-83,-83"
"23","0.222422","Dell_e6:54:d6","Broadcast","ARP","138","Who has 10.201.6.93? Tell 10.201.5.60","-79,-91,-87,-83,-83"
"24","0.222939","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=961, FN=0, Flags=.p....F.",""
"25","0.222995","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"27","0.233087","fe80::9f1:166e:bcda:ba1b","ff02::fb","MDNS","440","Standard query response 0x0000 PTR DESKTOP-30MBU7J._dosvc._tcp.local SRV 0 0 7680 DESKTOP-30MBU7J.local TXT","-80,-92,-92,-83,-83"
"28","0.291453","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=962, FN=0, Flags=.p....F.",""
"29","0.291543","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-43,-83,-83"
"31","0.322850","10.201.2.16","10.201.7.255","NBNS","170","Name query NB WPAD<00>","-79,-90,-87,-83,-83"
"32","0.330785","KramerElectr_06:f8:c3","Broadcast","802.11","327","Data, SN=880, FN=0, Flags=.pm...F.","-78,-87,-83,-83,-83"
"34","0.433091","Cisco_54:5a:48","IPv4mcast_7e:7f:3f","802.11","224","Data, SN=885, FN=0, Flags=.p....F.","-78,-86,-82,-83,-83"
"35","0.433332","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=963, FN=0, Flags=.p....F.",""
"36","0.433385","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-47,-42,-83,-83"
"37","0.464958","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=964, FN=0, Flags=.p....F.",""
"38","0.465029","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-44,-41,-83,-83"
"40","0.476006","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"41","0.475972","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=965, FN=0, Flags=.p....F.",""
"43","0.546598","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","73","Data, SN=966, FN=0, Flags=.p....F.",""
"44","0.546684","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-48,-42,-83,-83"
"46","0.614799","Dell_aa:d2:b1","Broadcast","ARP","138","Who has 10.201.1.229? Tell 10.201.2.213","-80,-91,-88,-83,-83"
"47","0.619720","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"48","0.619689","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=967, FN=0, Flags=.p....F.",""
"50","0.623260","fe80::aaa7:95ff:fe59:4020","ff02::fb","MDNS","273","Standard query response 0x0000 PTR HP LaserJet Pro MFP M226dw (BF985B)._ipp._tcp.local PTR HP LaserJet Pro MFP M226dw (BF985B)._ipps._tcp.local","-79,-89,-88,-83,-83"
"51","0.628741","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=968, FN=0, Flags=.p....F.",""
"52","0.628813","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-48,-43,-83,-83"
"54","0.645086","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=969, FN=0, Flags=.p....F.",""
"55","0.645158","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"57","0.671875","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=970, FN=0, Flags=.p....F.",""
"58","0.671970","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"60","0.762351","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"61","0.762314","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=971, FN=0, Flags=.p....F.",""
"62","0.764931","fe80::5acd:c9ff:fe89:998","ff02::fb","MDNS","316","Standard query response 0x0000 SRV, cache flush 0 0 631 BRW58CDC9890998.local A, cache flush 10.201.3.226 AAAA, cache flush fe80::5acd:c9ff:fe89:998 NSEC, cache flush BRW58CDC9890998.local NSEC, cache flush Brother DCP-L3560CDW series._ipp._tcp.local","-80,-90,-89,-83,-83"
"63","0.770442","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=972, FN=0, Flags=.p....F.",""
"64","0.770518","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"66","0.787514","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=973, FN=0, Flags=.p....F.",""
"67","0.787593","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-48,-43,-83,-83"
"69","0.867577","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=896, FN=0, Flags=.pm...F.","-75,-80,-78,-83,-83"
"70","0.870174","DallasSemico_34:4e:85","Broadcast","802.11","356","Data, SN=897, FN=0, Flags=.pm...F.","-74,-78,-78,-83,-83"
"72","0.907548","ASUSTekCOMPU_a8:18:d4","Intel_ec:d9:61","802.11","73","Data, SN=1136, FN=0, Flags=.p....F.",""
"73","0.907595","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-43,-56,-43,-83,-83"
"75","0.929990","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=974, FN=0, Flags=.p....F.",""
"76","0.930070","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"77","0.943624","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=900, FN=0, Flags=.pm...F.","-78,-87,-82,-83,-83"
"78","0.961540","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=975, FN=0, Flags=.p....F.",""
"79","0.961627","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"82","1.052136","DallasSemico_34:4d:20","Broadcast","802.11","354","Data, SN=906, FN=0, Flags=.pm...F.","-77,-86,-81,-83,-83"
"85","1.099471","fe80::3918:f6e:89b6:acb3","ff02::1:3","LLMNR","173","Standard query 0xa7c8 A BRNB422009EE2EF","-79,-92,-87,-83,-83"
"86","1.104709","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=976, FN=0, Flags=.p....F.",""
"87","1.104775","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-47,-42,-83,-83"
"88","1.105060","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=977, FN=0, Flags=.p....F.",""
"89","1.105107","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"91","1.136770","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=978, FN=0, Flags=.p....F.",""
"92","1.136845","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-43,-83,-83"
"94","1.208029","Intel_89:33:02","IPv6mcast_fb","802.11","232","Data, SN=3332, FN=0, Flags=.p....F.","-62,-63,-69,-83,-83"
"97","1.249368","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=814, FN=0, Flags=.p....F.",""
"98","1.249426","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"99","1.250076","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=979, FN=0, Flags=.p....F.",""
"100","1.250129","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"101","1.250422","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=980, FN=0, Flags=.p....F.",""
"102","1.250465","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"104","1.261524","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1001","Data, SN=815, FN=0, Flags=.p....F.",""
"105","1.261593","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"106","1.261762","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","123","Data, SN=816, FN=0, Flags=.p....F.",""
"107","1.261816","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
